date,house_price,rent_index,gdp_real,unemployment,long_rate,population,inflation_yoy,pop_growth_yoy,price_ret,rent_ret,price_ret_lag_1,rent_ret_lag_1,price_ret_lag_2,rent_ret_lag_2,price_ret_lag_4,rent_ret_lag_4,price_roll_mean_4,price_roll_vol_4,price_momentum_4q,price_to_rent,price_to_rent_chg,gdp_growth,unemp_chg,long_rate_chg,real_rate,q_sin,q_cos,target_price_price_next,target_price_return_next,target_price_direction,target_rent_price_next,target_rent_return_next,target_rent_direction
2009-10-01,84.2,93.06666666666666,687603.1,7.266666666666667,3.19,81808274.25,0.36443148688047877,-0.17812406554195137,0.01568154402895061,0.0025134649910234508,-0.002406738868832581,0.0021590500179922145,0.01589242053789719,0.002887044388307336,0.002450980392156854,0.002902757619738683,0.007291806424503805,0.009858845130783203,0.02933985330073363,0.9047277936962751,0.013135064513118522,0.00767978671753311,-0.2666666666666675,-0.11333333333333329,2.825568513119521,-2.4492935982947064e-16,1.0,83.0,-0.014251781472684133,0,93.36666666666667,0.003223495702005863,1
2010-01-01,83.0,93.36666666666667,692604.6,7.0,3.1766666666666663,81776930.0,0.7661437431594198,-0.15308115801915267,-0.014251781472684133,0.003223495702005863,0.01568154402895061,0.0025134649910234508,-0.002406738868832581,0.0021590500179922145,0.0,0.0025325615050653116,0.0037288610563327718,0.014739605396159074,0.014669926650366705,0.8889682256337021,-0.01741912669465706,0.007273818282669264,-0.2666666666666666,-0.013333333333333641,2.4105229235072465,1.0,6.123233995736766e-17,84.3,0.015662650602409567,1,93.63333333333333,0.002856122813280848,1
2010-04-01,84.3,93.63333333333333,707611.1,6.7,2.776666666666667,81401443.25,1.0192937750272968,-0.5734872099082522,0.015662650602409567,0.002856122813280848,-0.014251781472684133,0.003223495702005863,0.01568154402895061,0.0025134649910234508,0.01589242053789719,0.002887044388307336,0.003671418572460866,0.014676714628009995,0.014440433212996373,0.9003203987184052,0.01277005494387673,0.02166676340295748,-0.2999999999999998,-0.39999999999999947,1.75737289163937,1.2246467991473532e-16,-1.0,84.3,0.0,0,93.89999999999999,0.002847988608045471,1
2010-07-01,84.3,93.89999999999999,714439.5,6.433333333333334,2.4233333333333333,81025956.5,1.126044315292396,-0.9942152895055401,0.0,0.002847988608045471,0.015662650602409567,0.002856122813280848,-0.014251781472684133,0.003223495702005863,-0.002406738868832581,0.0021590500179922145,0.004273103289669011,0.014391028168891663,0.016887816646562026,0.8977635782747604,-0.00283990060347894,0.009649933416816081,-0.2666666666666666,-0.3533333333333335,1.2972890180409373,-1.0,-1.8369701987210297e-16,83.8,-0.005931198102016588,0,94.13333333333333,0.002484913028043989,1
2010-10-01,83.8,94.13333333333333,719124.1,6.2,2.5966666666666667,80650469.75,1.5613652868554873,-1.4152657669587732,-0.005931198102016588,0.002484913028043989,0.0,0.002847988608045471,0.015662650602409567,0.002856122813280848,0.01568154402895061,0.0025134649910234508,-0.0011300822430727886,0.012629366128976749,-0.004750593824228044,0.8902266288951842,-0.008395249664794768,0.006557028271813037,-0.2333333333333334,0.17333333333333334,1.0353013798111794,-2.4492935982947064e-16,1.0,86.1,0.027446300715990413,1,94.5,0.0038951841359773365,1
2011-01-01,86.1,94.5,732125.2,5.866666666666667,3.143333333333333,80274983.0,2.208544532947143,-1.8366390129832433,0.027446300715990413,0.0038951841359773365,-0.005931198102016588,0.002484913028043989,0.0,0.002847988608045471,-0.014251781472684133,0.003223495702005863,0.009294438304095848,0.01514651581779922,0.03734939759036138,0.9111111111111111,0.02345973658622813,0.018079077032740143,-0.33333333333333304,0.5466666666666664,0.9347888003861899,1.0,6.123233995736766e-17,87.1,0.011614401858304202,1,94.8,0.0031746031746031633,1
2011-04-01,87.1,94.8,734110.1,5.566666666666666,3.0966666666666662,80312693.0,2.522522522522519,-1.337507305191421,0.011614401858304202,0.0031746031746031633,0.027446300715990413,0.0038951841359773365,-0.005931198102016588,0.002484913028043989,0.015662650602409567,0.002856122813280848,0.008282376118069507,0.014708068622352032,0.033214709371292894,0.9187763713080168,0.008413090460018369,0.0027111483117914226,-0.3000000000000007,-0.046666666666666856,0.5741441441441473,1.2246467991473532e-16,-1.0,86.7,-0.004592422502870175,0,95.10000000000001,0.0031645569620253333,1
2011-07-01,86.7,95.10000000000001,738080.0,5.433333333333334,2.2600000000000002,80350403.0,2.6221264367816133,-0.8337494911275778,-0.004592422502870175,0.0031645569620253333,0.011614401858304202,0.0031746031746031633,0.027446300715990413,0.0038951841359773365,0.0,0.002847988608045471,0.007134270492351963,0.015714875617885263,0.028469750889679846,0.9116719242902208,-0.007732509498129314,0.005407771940475925,-0.13333333333333286,-0.836666666666666,-0.36212643678161305,-1.0,-1.8369701987210297e-16,87.3,0.006920415224913379,1,95.36666666666667,0.002804065895548602,1
2011-10-01,87.3,95.36666666666667,738000.6,5.233333333333333,1.9333333333333333,80388113.0,2.5741866285305504,-0.32530095709703,0.006920415224913379,0.002804065895548602,-0.004592422502870175,0.0031645569620253333,0.011614401858304202,0.0031746031746031633,-0.005931198102016588,0.002484913028043989,0.010347173824084455,0.013278054830754435,0.0417661097852029,0.9154141908423628,0.004104839090065759,-0.00010757641448089217,-0.20000000000000018,-0.3266666666666669,-0.640853295197217,-2.4492935982947064e-16,1.0,88.0,0.008018327605956443,1,95.66666666666667,0.003145753233135151,1
2012-01-01,88.0,95.66666666666667,739568.7,5.1,1.8333333333333333,80425823.0,2.4087849805171757,0.18790411951878916,0.008018327605956443,0.003145753233135151,0.006920415224913379,0.002804065895548602,-0.004592422502870175,0.0031645569620253333,0.027446300715990413,0.0038951841359773365,0.005490180546575962,0.0070143203452342285,0.022067363530778206,0.9198606271777003,0.004857294522871758,0.0021247950204918986,-0.13333333333333375,-0.10000000000000009,-0.5754516471838425,1.0,6.123233995736766e-17,89.1,0.012499999999999956,1,95.89999999999999,0.0024390243902436826,1
