date,house_price,rent_index,gdp_real,unemployment,long_rate,population,inflation_yoy,pop_growth_yoy
2013-07-01,92.9,97.46666666666665,747945.2,4.9,1.7266666666666666,80814052.5,1.6792323509253082,0.34560878171390197
2013-10-01,93.0,97.76666666666667,749056.8,4.8,1.7466666666666668,80898276.25,1.3665869490946392,0.38170273318087755
2014-01-01,93.8,98.26666666666667,756877.4,4.8,1.61,80982500.0,0.9510869565217517,0.41774750155325613
2014-04-01,95.7,98.66666666666667,756718.6,4.733333333333333,1.3499999999999999,81158527.75,0.9155645981688831,0.5310292448750031
2014-07-01,96.2,98.96666666666665,760926.6,4.7,0.9933333333333333,81334555.5,0.7751937984495916,0.6440748655687001
2014-10-01,96.2,99.3,766722.4,4.633333333333333,0.7000000000000001,81510583.25,0.43815301651499716,0.7568851011210409
2015-01-01,97.8,99.60000000000001,765055.5,4.5,0.3066666666666667,81686611.0,-0.13458950201883368,0.8694606859506626
2015-04-01,99.9,99.89999999999999,769025.2,4.4,0.49000000000000005,81852125.5,1.2432795698924748,0.8546209119718817
2015-07-01,100.4,100.13333333333333,773153.8,4.3,0.6566666666666666,82017640.0,1.070234113712365,0.83984537174977
2015-10-01,101.8,100.36666666666667,777123.5,4.2,0.53,82183154.5,0.5369127516778649,0.8251336491326144
2016-01-01,103.9,100.7,783952.0,4.066666666666666,0.25666666666666665,82348669.0,0.13477088948785632,0.8104853315557436
2016-04-01,106.9,101.0,785698.7,4.0,0.08,82425752.25,-0.09956853634252028,0.7008086185862128
2016-07-01,108.8,101.36666666666667,788477.5,3.8666666666666667,-0.12333333333333334,82502835.5,0.3970880211780159,0.5915745685928009
2016-10-01,110.4,101.83333333333333,792129.7,3.7000000000000006,0.14666666666666667,82579918.75,1.0347129506007802,0.4827805070441782
2017-01-01,110.9,102.3,802411.6,3.6333333333333333,0.2866666666666667,82657002.0,1.7833109017496573,0.3744237809113926
2017-04-01,113.1,102.76666666666667,808128.4,3.5666666666666664,0.27,82719197.0,1.661129568106312,0.35601100625684
2017-07-01,115.0,103.10000000000001,814559.7,3.466666666666667,0.38666666666666666,82781392.0,1.8127883981542414,0.33763263809278854
2017-10-01,117.3,103.46666666666665,822817.3,3.4,0.32666666666666666,82843587.0,1.5526924347538884,0.31928858007019834
2018-01-01,118.3,104.0,818271.5,3.2999999999999994,0.5533333333333333,82905782.0,1.454545454545464,0.30097873619949755
2018-04-01,120.6,104.39999999999999,824702.7,3.2000000000000006,0.42,82952577.0,1.9281045751633918,0.28213523397717655
2018-07-01,123.1,104.8,819303.6,3.1666666666666665,0.3133333333333333,82999372.0,2.201359663321467,0.26332004661144826
2018-10-01,124.6,105.10000000000001,822956.0,3.1,0.3,83046167.0,2.1470396877033338,0.2445331103299475
2019-01-01,124.6,105.56666666666666,828355.0,3.0,0.06666666666666667,83092962.0,1.5640273704790042,0.2257743615517782
2019-04-01,127.8,105.93333333333334,828831.4,2.9,-0.16,83109939.25,1.6672010259698666,0.18970146038983504
2019-07-01,129.6,106.3,832007.3,2.9,-0.5433333333333333,83126916.5,1.0136205258156394,0.15366923499131602
2019-10-01,132.7,106.7,829228.4,3.0,-0.3733333333333333,83143893.75,1.178343949044569,0.11767761659609022
2020-01-01,133.8,107.13333333333333,812396.1,3.3000000000000003,-0.44,83160871.0,1.5720243824189906,0.08172653659885842
2020-04-01,136.2,107.5,740303.0,3.6666666666666665,-0.4666666666666666,83169672.75,0.6937874487543461,0.0718728716914585
2020-07-01,140.3,107.76666666666667,804535.7,3.8333333333333335,-0.52,83178474.5,-0.15678896205707504,0.062023231668884016
2020-10-01,144.3,108.10000000000001,812316.7,3.7999999999999994,-0.6133333333333333,83187276.25,-0.5980484734025793,0.05217761406561827
2021-01-01,146.3,108.5,807314.7,3.9,-0.4633333333333333,83196078.0,1.7372078332280383,0.04233601641809859
2021-04-01,151.8,108.83333333333333,826290.7,3.6999999999999997,-0.27999999999999997,83191511.75,2.1609771374882625,0.026258369520881786
2021-07-01,158.2,109.2,827005.2,3.4333333333333336,-0.45,83186945.5,3.5175879396984966,0.010184125221002205
2021-10-01,162.5,109.53333333333335,831451.5,3.3666666666666667,-0.3,83182379.25,5.446485117162769,-0.0058867175615651135
2022-01-01,164.1,110.03333333333335,837088.7,3.233333333333333,0.10333333333333335,83177813.0,6.08506674945668,-0.021954159906434345
2022-04-01,167.4,110.60000000000001,838359.1,3.1,1.05,83205178.0,8.277130594727167,0.016427457215906216
2022-07-01,166.3,111.06666666666666,840820.4,3.1,1.3033333333333335,83232543.0,9.40533980582523,0.05481328798158103
2022-10-01,158.5,111.56666666666666,837882.7,3.1,2.1166666666666667,83259908.0,10.81081081081081,0.09320333308451278
2023-01-01,153.7,112.26666666666667,833932.7,3.033333333333333,2.313333333333333,83287273.0,8.721100380450686,0.13159759321876852
2023-04-01,151.6,112.8,833297.5,3.0,2.36,83344603.0,6.879954699886737,0.1675676963277528
2023-07-01,149.3,113.43333333333334,833297.5,3.0666666666666664,2.5566666666666666,83401933.0,5.740432612312807,0.20351414710468863
2023-10-01,146.4,113.86666666666667,830994.9,3.1666666666666665,2.5066666666666664,83459263.0,3.0081300813008083,0.23943696887100963
2024-01-01,145.8,114.63333333333333,830101.8,3.233333333333333,2.2866666666666666,83516593.0,2.718707940780618,0.2753361849174629
2024-04-01,147.8,115.3,827958.0,3.4,2.4833333333333334,83516593.0,2.569536423841079,0.2753361849174629
2024-07-01,149.0,115.83333333333333,828116.8,3.4,2.28,83516593.0,2.1505376344086002,0.2753361849174629
2024-10-01,149.2,116.33333333333333,829625.4,3.4333333333333336,2.24,83516593.0,2.525651144435681,0.2753361849174629
2025-01-01,150.9,116.93333333333334,832721.9,3.5666666666666664,2.5433333333333334,83516593.0,2.5681341719077544,0.2753361849174629
2025-04-01,152.4,117.7,831054.5,3.7000000000000006,2.53,83516593.0,2.0919421487603174,0.2753361849174629
2025-07-01,153.6,118.3,830736.9,3.7999999999999994,2.6633333333333336,83516593.0,2.1052631578947434,0.2753361849174629
2025-10-01,153.7,118.83333333333333,832721.8,3.9,2.6956666666666664,83516593.0,2.283808057480119,0.2753361849174629
